id,source,title,url,deadline,description,scraped_at,fit,score,fit_reason,fit_match,call_summary,call_deadline
3710fb4f0067,EIT Digital (28DIGITAL),Innovation Study Tours,https://28digital.eu/our-messages/calls-tenders/innovation-study-tours/,,,2026-05-28T16:22:12.115520+00:00,NO,2,"This call requires universities, training providers, or innovation hubs to design and deliver short-term international study tour programmes, which is outside DevelopMinded's core service offering of technology commercialisation, investment readiness, and strategic support for deep tech ventures.",none,"EIT Digital (28DIGITAL) is launching a Call for Proposals for Innovation Study Tours — intensive 5–10 day international learning experiences focused on innovation ecosystems and deep-tech entrepreneurship, targeting students, professionals, and young entrepreneurs. Contractors must design and implement these programmes either as 'Global Exposure' (Europeans exploring ecosystems outside Europe) or 'European Immersion' (international participants engaging with European ecosystems), for a minimum of 15 participants, to take place in January–February 2027.",31 July 2026
05adc5e11e1c,EIT Digital (28DIGITAL),External Experts for 28DIGITAL,https://28digital.eu/our-messages/calls-tenders/external-experts-for-28digital/,,,2026-05-28T16:22:12.115701+00:00,MAYBE,5,"DevelopMinded's expertise in evaluating investor readiness, innovation programmes, and startup competitions aligns with the external expert/evaluator role, though this is a voluntary or minimally compensated expert registration rather than a formal procurement contract.","Evaluation and assessment of investor readiness, innovation programmes, and startup competitions","EIT Digital's 28DIGITAL initiative is seeking independent external experts to assess innovation and education project proposals across digital tech focus areas, as well as independent observers to ensure evaluation panel compliance. Contractors/experts must evaluate project proposals, provide assessments, and/or observe evaluation processes for impartiality and transparency.",
0e1cd33b04ad,EIT Health,Call for Tenders,https://eithealth.eu/call-for-tenders/,,,2026-05-28T16:22:12.327844+00:00,NO,1,"This is a generic procurement landing page with no specific tender details, scope, or requirements that can be evaluated for fit.",none,"This page is a general call-for-tenders portal page from EIT Health directing visitors to external procurement platforms (DTVP and TED) where actual tenders are listed. There is no specific tender scope, deliverables, or requirements described on this page.",
d8fb01ef48f9,EIT Health,Active EIT Health Tenders on dtvp.de (external portal),https://www.dtvp.de/en,,EIT Health publishes its active tenders on the dtvp.de procurement platform. Search for 'EIT Health' on that site to find all current open opportunities.,2026-05-28T16:22:12.328199+00:00,NO,1,"This page contains no actual tender information — it is merely a marketing/landing page for the DTVP German e-procurement portal with no specific EIT Health tender details, scope, or deliverables visible.",none,"This is not a specific tender but rather a generic page for the DTVP (Deutsches Vergabeportal) procurement platform, which hosts EIT Health tenders among many others. No concrete tender scope, deliverables, or requirements are described on this page.",
e93851b38694,EIT Climate-KIC,NZC CESF Procurement RFP - Bergamo,https://www.climate-kic.org/wp-content/uploads/2026/04/NZC-CESF-Procurement-RFP-SGA-MCCC-021-Bergamo_UPDATE_QA_FINAL-27_04.pdf,,"Climate KIC is looking for expert services for the Design and Enablement of a Youth and Children CCC Outreach and
Engagement Framework for the City of Bergamo. *The proposal submission deadline has be",2026-05-28T16:22:12.636124+00:00,NO,1,"This tender is about designing a youth and children community engagement framework for climate action in the City of Bergamo, which has no relevance to DevelopMinded's core services in technology commercialisation, investment readiness, or deep tech startup support.",none,This call is part of the NetZeroCities programme and seeks expert services to design and implement a Youth and Children Climate City Contract outreach and engagement framework for Bergamo. The contractor must concretely deliver community engagement strategies and outreach activities targeting youth and children in the context of urban net-zero transition.,15 May 2026
b63c3814b969,EIT Climate-KIC,NZC CESF Procurement RFP - Glasgow,https://www.climate-kic.org/wp-content/uploads/2026/05/NZC-CESF-RFP-Procurement_SGA-MCCC-024-Glasgow-07.05.pdf,,"As part of NetZeroCities, Climate KIC is looking for external expert support to develop the prototypical concept design and implementation guidelines for Glasgow’s Community Renewable Energy Framework",2026-05-28T16:22:12.636303+00:00,NO,2,"This tender requires specialist expertise in community renewable energy framework design and implementation guidelines for a specific Glasgow urban energy initiative, which is outside DevelopMinded's core competencies in technology commercialisation, investment readiness, and deep tech go-to-market strategy.",none,This is a NetZeroCities/Climate-KIC procurement for external expert support to develop a prototypical concept design and implementation guidelines for Glasgow's Community Renewable Energy Framework (CREF). The contractor must deliver concrete design outputs and operational guidelines for a community-level renewable energy programme in Glasgow.,22 May 2026
b6c80f85d775,EIT Climate-KIC,NZC CESF Procurement RFP - Greece,https://www.climate-kic.org/wp-content/uploads/2026/05/RFP_2026_SGA2_Task-1.6-Greece-RFP2_MAY26_QAs_FINAL.pdf,,"As part of NetZeroCities, Climate KIC is looking for an expert support to organise national events on climate neutrality in Greece.",2026-05-28T16:22:12.636467+00:00,NO,1,"This tender requires expert support to organise national climate neutrality events in Greece for cities, which is entirely unrelated to DevelopMinded's core services in technology commercialisation, investment readiness, or deep tech venture support.",none,"This RFP, issued under the NetZeroCities (NZC) programme by EIT Climate-KIC, seeks expert support to organise national events on climate neutrality targeted at cities in Greece. The contractor must deliver event organisation and facilitation services supporting Greek cities in their climate neutrality journeys as part of the NZC pilot cities programme.",18 May 2026
354da8fe4f8e,EIT Climate-KIC,On-Demand Advisory Services Supporting Urban Climate and Energy Transition,https://www.climate-kic.org/wp-content/uploads/2026/04/Climate-KIC_RFP_Framework_Advisory_Services_Energy_Transition_2026_UPDATE-April24.pdf,,"Climate KIC seeks to procure on-demand advisory, analytical, and capacity-building services to support energy systems transitions, climate strategies, and climate finance, primarily in the context of",2026-05-28T16:22:12.636638+00:00,MAYBE,4,"The tender focuses on urban climate and energy transition advisory services for the NetZeroCities/Cities Mission programme, which partially overlaps with DevelopMinded's market intelligence and regulatory/strategy capabilities, but is primarily oriented toward climate policy, energy systems, and city-level decarbonisation rather than deep tech commercialisation or startup support.","Go-to-market strategy and market intelligence (market sizing, segmentation, competitive analysis)","EIT Climate-KIC is procuring a framework agreement for on-demand advisory, analytical, and capacity-building services to support urban energy transitions, climate strategies, and climate finance under the Cities Mission and NetZeroCities programme. The contractor must deliver remote (and some on-site) advisory services across European cities and partner organisations over 24–36 months.",05 May 2026 (23:59 CET)
396a416cc627,EIT Climate-KIC,NZC CESF Procurement RFP - Sønderborg,https://www.climate-kic.org/wp-content/uploads/2026/04/NZC-CESF-RFP-Procurement_SGA-MCCC-023-Sonderborg_UPDATE_QAS_FINAL-28.04.pdf,,Climate KIC is looking for an external expert support for the NetZeroCities CESF programme to assess industrial waste heat recovery and decarbonisation opportunities in Sønderborg.,2026-05-28T16:22:12.636804+00:00,NO,2,"This tender requires deep technical expertise in industrial waste heat recovery and decarbonisation engineering for a Danish city, which is outside DevelopMinded's core competencies in technology commercialisation and startup support.",none,"This is a NetZeroCities CESF procurement seeking external expert support to assess industrial waste heat recovery and decarbonisation opportunities in Sønderborg, Denmark. The contractor must deliver a technical assessment of industrial waste heat potential and decarbonisation pathways for the city as part of the Climate City Contract framework.",15/22 May 2026
90aa7f78a4e2,EIT Climate-KIC,NZC CESF Procurement RFP - Valencia,https://www.climate-kic.org/wp-content/uploads/2026/04/RFP_SGA-MCC-013-Valencia-Schools_April26_QAs.pdf,,"Climate KIC invites quotations for the engagement of an experienced consultancy company to conduct a pre-feasibility study for three schools in Valencia, as part of the City Expert Support Facility un",2026-05-28T16:22:12.636967+00:00,NO,2,"This tender requires an experienced consultancy to conduct a pre-feasibility study for school decarbonisation in Valencia under a climate cities programme, which is focused on built environment/energy infrastructure assessment rather than technology commercialisation, deep tech support, or EU innovation grant services.",none,"This RFP, issued by EIT Climate-KIC under the NetZeroCities City Expert Support Facility, seeks a consultancy to conduct a pre-feasibility study for three schools in Valencia as part of a net-zero cities initiative. The contractor must deliver technical and feasibility analysis across inception and assessment phases, covering energy efficiency, decarbonisation pathways, and infrastructure recommendations for the selected schools.",08 May 2026
